timestamp_utc,HY_Res_Level,HY_Head,HY_Flow,HY_Pressure,HY_Speed_Pct,HY_Freq_Hz,HY_Power_MW,HY_Gate_Pos,HY_Gate_Cmd,HY_Breaker_Sts,HY_Breaker_Cmd,HY_Spill_Sts,HY_Spill_Cmd,HY_State_Idle,HY_State_Startup,HY_State_Running,HY_State_Shutdown,HY_State_Tripped,HY_Permissives_Ready,HY_Trip_Overspeed,HY_Trip_Overpressure,HY_Trip_LowHead,HY_Trip_Manual,HY_Alarm_GateMismatch,HY_Alarm_BreakerMismatch,HY_Alarm_LowLevel,HY_Power_Setpoint_MW
2025-06-15T10:10:00Z,25.05,100.38,50.25,985.95,99.88,59.98,42.77,50.00,50.00,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,40.00
2025-06-15T10:10:00.5Z,24.91,100.24,49.68,983.98,100.00,60.02,42.43,49.58,49.58,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,40.00
2025-06-15T10:10:01Z,25.00,100.43,49.05,979.01,99.93,60.02,42.12,49.21,49.21,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,40.00
2025-06-15T10:10:01.5Z,24.93,99.58,48.60,978.65,99.81,60.01,41.93,48.89,48.89,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,40.00
2025-06-15T10:10:02Z,25.06,100.42,48.72,980.89,100.07,60.00,41.65,48.61,48.61,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,40.00
2025-06-15T10:10:02.5Z,25.05,100.45,48.25,977.83,100.04,59.99,41.36,48.36,48.36,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,40.00
2025-06-15T10:10:03Z,24.93,99.76,47.98,984.99,99.85,59.99,41.29,48.15,48.15,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,40.00
2025-06-15T10:10:03.5Z,25.09,99.52,48.02,981.55,99.80,60.01,40.98,47.96,47.96,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,40.00
2025-06-15T10:10:04Z,24.98,100.18,47.68,985.47,100.06,59.99,40.84,47.80,47.80,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,40.00
2025-06-15T10:10:04.5Z,25.01,99.68,47.42,978.91,100.02,60.01,40.91,47.66,47.66,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,40.00
2025-06-15T10:10:05Z,25.06,100.33,47.45,980.64,99.82,59.99,40.81,47.54,47.54,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,40.00
2025-06-15T10:10:05.5Z,25.09,100.34,47.17,979.71,99.99,59.98,40.60,47.43,47.43,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,40.00
2025-06-15T10:10:06Z,24.93,100.26,47.51,985.70,99.99,60.01,40.55,47.34,47.34,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,40.00
2025-06-15T10:10:06.5Z,25.10,100.31,47.23,982.17,100.00,60.00,40.41,47.26,47.26,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,40.00
2025-06-15T10:10:07Z,24.95,99.67,47.09,978.48,100.05,60.00,40.45,47.19,47.19,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,40.00
2025-06-15T10:10:07.5Z,25.06,99.69,47.30,983.56,100.06,59.99,40.26,47.13,47.13,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,40.00
2025-06-15T10:10:08Z,24.98,100.20,47.16,983.64,99.91,59.99,40.33,47.07,47.07,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,40.00
2025-06-15T10:10:08.5Z,25.04,100.00,47.26,983.99,100.00,60.01,40.19,47.02,47.02,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,40.00
2025-06-15T10:10:09Z,24.92,99.84,46.81,983.95,99.80,60.01,40.18,46.98,46.98,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,40.00
2025-06-15T10:10:09.5Z,25.02,99.68,47.20,980.70,100.00,60.00,40.24,46.95,46.95,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,40.00
2025-06-15T10:10:10Z,25.00,99.65,47.03,979.59,99.83,59.99,40.08,46.92,46.92,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,40.00
2025-06-15T10:10:10.5Z,24.91,99.80,47.00,985.05,99.91,60.01,40.06,46.89,46.89,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,40.00
2025-06-15T10:10:11Z,24.99,99.68,46.92,980.29,100.09,59.98,40.09,46.87,46.87,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,40.00
2025-06-15T10:10:11.5Z,25.09,100.39,46.73,985.77,100.06,59.98,40.19,46.85,46.85,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,40.00
2025-06-15T10:10:12Z,24.94,100.15,46.97,977.50,99.86,60.02,40.08,46.83,46.83,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,40.00
2025-06-15T10:10:12.5Z,25.09,100.24,46.85,976.83,99.81,59.99,40.08,46.81,46.81,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,40.00
2025-06-15T10:10:13Z,24.96,99.66,46.90,985.23,99.94,59.98,40.15,46.80,46.80,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,40.00
2025-06-15T10:10:13.5Z,24.96,99.62,46.55,978.29,99.91,60.01,39.97,46.79,46.79,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,40.00
2025-06-15T10:10:14Z,25.02,100.23,46.62,984.04,99.90,60.00,39.97,46.78,46.78,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,40.00
2025-06-15T10:10:14.5Z,25.10,99.51,46.64,983.18,99.91,59.99,40.00,46.77,46.77,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,40.00
2025-06-15T10:10:15Z,25.07,100.24,46.66,980.43,99.97,60.00,40.11,46.76,46.76,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,40.00
2025-06-15T10:10:15.5Z,24.92,99.95,46.98,980.71,99.99,60.00,40.08,46.75,46.75,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,40.00
2025-06-15T10:10:16Z,24.98,99.63,46.86,978.15,100.05,60.01,40.13,46.75,46.75,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,40.00
2025-06-15T10:10:16.5Z,24.96,99.59,46.86,976.69,99.89,60.00,40.10,46.74,46.74,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,40.00
2025-06-15T10:10:17Z,24.91,99.66,46.54,976.55,99.96,60.01,40.07,46.74,46.74,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,40.00
2025-06-15T10:10:17.5Z,24.93,100.16,46.78,979.15,100.13,60.00,40.10,46.73,46.73,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,40.00
2025-06-15T10:10:18Z,24.93,99.74,46.46,984.37,100.16,60.01,40.00,46.73,46.73,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,40.00
2025-06-15T10:10:18.5Z,25.09,100.38,46.98,979.34,100.06,60.00,40.02,46.73,46.73,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,40.00
2025-06-15T10:10:19Z,24.99,99.68,46.97,976.50,99.93,60.02,40.10,46.72,46.72,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,40.00
2025-06-15T10:10:19.5Z,25.01,100.06,46.48,980.91,99.99,59.99,39.96,46.72,46.72,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,40.00
2025-06-15T10:10:20Z,25.02,99.95,49.75,985.17,100.11,60.00,42.52,49.72,49.72,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,60.00
2025-06-15T10:10:20.5Z,24.94,99.75,52.07,985.89,99.95,60.01,44.72,52.33,52.33,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,60.00
2025-06-15T10:10:21Z,25.02,100.40,54.62,979.09,100.10,59.98,46.83,54.61,54.61,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,60.00
2025-06-15T10:10:21.5Z,25.03,100.38,56.47,981.10,100.02,60.00,48.47,56.59,56.59,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,60.00
2025-06-15T10:10:22Z,25.07,99.76,58.50,977.74,99.87,59.99,50.02,58.32,58.32,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,60.00
2025-06-15T10:10:22.5Z,25.04,100.12,59.59,976.36,100.10,60.01,51.22,59.83,59.83,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,60.00
2025-06-15T10:10:23Z,25.03,100.09,61.09,981.74,100.04,60.00,52.40,61.15,61.15,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,60.00
