Tag,Address,Type,Units,Range,SafetyNotes
InletPressure,AI_01,Analog Input,PSI,0-1000,CRITICAL - Inlet pressure monitoring
OutletPressure,AI_02,Analog Input,PSI,0-1000,CRITICAL - Outlet pressure monitoring
FlowRate,AI_03,Analog Input,GPM,0-500,Flow rate monitoring for process control
HighPressureAlarm,DI_01,Digital Input,Boolean,0-1,Safety alarm - high pressure protection
LowPressureAlarm,DI_02,Digital Input,Boolean,0-1,Safety alarm - low pressure protection
LeakDetected,DI_03,Digital Input,Boolean,0-1,CRITICAL - Leak detection sensor
EmergencyStop,DI_04,Digital Input,Boolean,0-1,CRITICAL - Emergency shutdown input
ManualMode,DI_05,Digital Input,Boolean,0-1,Manual override mode selection
Pump1Status,DO_01,Digital Output,Boolean,0-1,Pump 1 status indicator
Pump2Status,DO_02,Digital Output,Boolean,0-1,Pump 2 status indicator
Valve1Status,DO_03,Digital Output,Boolean,0-1,Valve 1 position indicator
AlarmLight,DO_04,Digital Output,Boolean,0-1,System alarm indicator
PressureRegulator1,AO_01,Analog Output,%,0-100,Pressure regulator 1 control
PressureRegulator2,AO_02,Analog Output,%,0-100,Pressure regulator 2 control
