timestamp_utc,RW_Tank_Level,RW_Pump_Speed,RW_Pump_Flow,RW_Pump_Sts,RW_Pump_Fault,RW_Pump_Start,RW_Pump_Stop,RW_Tank_PR_Valve,RW_Tank_PR_Valve_Sts,RW_Tank_P_Valve,RW_Tank_P_Valve_Sts,ChemTreat_NaCl_Level,ChemTreat_NaOCl_Level,ChemTreat_HCl_Level,UF_UFFT_Tank_Level,SYS_IDLE,SYS_RUNNING,Alarm_RW_Tank_HH
2025-01-28T10:10:00Z,796.82,83.73,92.10,1,0,0,0,1,1,1,1,778.09,728.09,878.73,597.45,0,1,0
2025-01-28T10:10:00.5Z,812.34,83.33,91.67,1,0,0,0,1,1,1,1,775.50,726.00,877.33,604.67,0,1,0
2025-01-28T10:10:01Z,837.03,86.61,95.27,1,0,0,0,1,1,1,1,778.42,729.42,879.61,619.23,0,1,0
2025-01-28T10:10:01.5Z,851.37,85.75,94.32,1,0,0,0,1,1,1,1,775.12,726.62,877.75,625.49,0,1,0
2025-01-28T10:10:02Z,863.16,83.86,92.25,1,0,0,0,1,1,1,1,770.29,722.29,874.86,629.73,0,1,0
2025-01-28T10:10:02.5Z,887.41,86.96,95.66,1,0,0,0,1,1,1,1,772.95,725.45,876.96,643.93,0,1,0
2025-01-28T10:10:03Z,894.64,83.26,91.58,1,0,0,0,1,1,1,1,765.39,718.39,872.26,644.51,0,1,0
2025-01-28T10:10:03.5Z,914.80,84.72,93.19,1,0,0,0,1,1,1,1,765.58,719.08,872.72,655.44,0,1,0
2025-01-28T10:10:04Z,928.11,83.44,91.79,1,0,0,0,1,1,1,1,761.67,715.67,870.44,660.89,0,1,0
2025-01-28T10:10:04.5Z,952.80,86.72,95.39,1,0,0,0,1,1,1,1,764.58,719.08,872.72,675.44,0,1,0
2025-01-28T10:10:05Z,965.51,85.21,93.73,1,0,0,0,1,1,1,1,760.31,715.31,870.21,680.41,0,1,0
2025-01-28T10:10:05.5Z,981.32,84.93,93.42,1,0,0,0,1,1,1,1,757.89,713.39,868.93,687.85,0,1,0
2025-01-28T10:10:06Z,994.44,83.58,91.93,1,0,0,0,1,1,1,1,753.86,709.86,866.58,693.15,0,1,0
2025-01-28T10:10:06.5Z,1012.01,84.01,92.41,1,0,0,0,1,1,1,1,752.51,709.01,866.01,702.01,0,1,0
2025-01-28T10:10:07Z,1035.27,86.71,95.38,1,0,0,0,1,1,1,1,754.56,711.56,867.71,715.42,0,1,0
2025-01-28T10:10:07.5Z,1046.34,84.54,92.99,1,0,0,0,1,1,1,1,749.30,706.80,864.54,719.07,0,1,0
2025-01-28T10:10:08Z,1061.39,83.96,92.35,1,0,0,0,1,1,1,1,746.44,704.44,862.96,725.91,0,1,0
2025-01-28T10:10:08.5Z,1077.06,83.62,91.99,1,0,0,0,1,1,1,1,743.94,702.44,861.62,733.25,0,1,0
2025-01-28T10:10:09Z,1099.36,85.94,94.54,1,0,0,0,1,1,1,1,745.41,704.41,862.94,745.88,0,1,0
2025-01-28T10:10:09.5Z,1110.05,83.62,91.98,1,0,0,0,1,1,1,1,739.93,699.43,859.62,749.24,0,1,0
2025-01-28T10:10:10Z,1131.56,85.62,94.19,1,0,0,0,1,1,1,1,740.94,700.94,860.62,761.25,0,1,0
2025-01-28T10:10:10.5Z,1148.33,85.73,94.31,1,0,0,0,1,1,1,1,739.10,699.60,859.73,769.47,0,1,0
2025-01-28T10:10:11Z,1163.69,85.27,93.80,1,0,0,0,1,1,1,1,736.41,697.41,858.27,776.55,0,1,0
2025-01-28T10:10:11.5Z,1178.67,84.67,93.14,1,0,0,0,1,1,1,1,733.50,695.00,856.67,783.34,0,1,0
2025-01-28T10:10:12Z,1191.25,83.10,91.41,1,0,0,0,1,1,1,1,729.15,691.15,854.10,788.20,0,1,0
2025-01-28T10:10:12.5Z,1216.87,86.75,95.42,1,0,0,0,1,1,1,1,732.62,695.12,856.75,803.50,0,1,1
2025-01-28T10:10:13Z,1231.03,85.81,94.39,1,0,0,0,1,1,1,1,729.22,692.22,854.81,809.63,0,1,1
2025-01-28T10:10:13.5Z,1248.95,86.38,95.02,1,0,0,0,1,1,1,1,728.07,691.57,854.38,818.76,0,1,1
2025-01-28T10:10:14Z,1264.89,86.16,94.77,1,0,0,0,1,1,1,1,725.73,689.73,853.16,826.31,0,1,1
2025-01-28T10:10:14.5Z,1274.62,83.45,91.79,1,0,0,0,1,1,1,1,719.67,684.17,849.45,828.90,0,1,1
2025-01-28T10:10:15Z,1299.32,86.73,95.40,1,0,0,0,1,1,1,1,722.59,687.59,851.73,843.46,0,1,1
2025-01-28T10:10:15.5Z,1310.74,84.70,93.17,1,0,0,0,1,1,1,1,717.54,683.04,848.70,847.39,0,1,1
2025-01-28T10:10:16Z,1324.59,83.64,92.00,1,0,0,0,1,1,1,1,713.95,679.95,846.64,853.27,0,1,1
2025-01-28T10:10:16.5Z,1344.13,84.85,93.34,1,0,0,0,1,1,1,1,713.78,680.28,846.85,863.71,0,1,1
2025-01-28T10:10:17Z,1359.27,84.31,92.74,1,0,0,0,1,1,1,1,710.96,677.96,845.31,870.62,0,1,1
2025-01-28T10:10:17.5Z,1378.88,85.55,94.11,1,0,0,0,1,1,1,1,710.83,678.33,845.55,881.11,0,1,1
2025-01-28T10:10:18Z,1392.30,84.32,92.75,1,0,0,0,1,1,1,1,706.98,674.98,843.32,886.64,0,1,1
2025-01-28T10:10:18.5Z,1409.70,84.68,93.15,1,0,0,0,1,1,1,1,705.52,674.02,842.68,895.36,0,1,1
2025-01-28T10:10:19Z,1430.71,86.48,95.13,1,0,0,0,1,1,1,1,706.23,675.23,843.48,906.97,0,1,1
2025-01-28T10:10:19.5Z,1439.12,83.25,91.57,1,0,0,0,1,1,1,1,699.37,668.87,839.25,908.50,0,1,1
2025-01-28T10:10:20Z,1460.07,85.03,93.53,1,0,0,0,1,1,1,1,700.04,670.04,840.03,920.06,0,1,1
2025-01-28T10:10:20.5Z,1476.29,84.91,93.41,1,0,0,0,1,1,1,1,697.87,668.37,838.91,927.83,0,1,1
2025-01-28T10:10:21Z,1496.87,86.55,95.20,1,0,0,0,1,1,1,1,698.32,669.32,839.55,939.09,0,1,1
