rockwell,iec,type,notes
Local:1:I.Data.0,%IX1.0,BOOL,Emergency stop input
Local:3:O.Data.5,%QX3.5,BOOL,Pump enable command
Local:7:I.Ch0Data,%IW70,REAL,pH sensor raw 0..32767
Local:7:O.Ch1Data,%QW71,REAL,Analog output to dosing valve
Local:2:I.Data.1,%IX2.1,BOOL,Level sensor high
Local:2:I.Data.2,%IX2.2,BOOL,Level sensor low
Local:4:O.Data.0,%QX4.0,BOOL,Valve open command
Local:4:O.Data.1,%QX4.1,BOOL,Valve close command
Local:5:I.Ch0Data,%IW50,REAL,Temperature sensor raw
Local:5:O.Ch0Data,%QW50,REAL,Temperature setpoint output
Local:6:I.Data.0,%IX6.0,BOOL,Flow sensor status
Local:6:O.Data.0,%QX6.0,BOOL,Flow control enable
Local:8:I.Ch0Data,%IW80,REAL,Pressure sensor raw
Local:8:O.Ch0Data,%QW80,REAL,Pressure setpoint output
